,symbol,x,y,z,frame
264,O,0.728147D+01,0.997505D+00,-0.821455D+01,0
265,H,0.118290D+02,0.497996D+01,-0.554151D+01,0
266,H,0.179824D+02,0.635800D+01,-0.206064D+02,0
267,O,0.213858D+01,-0.109724D+01,0.783317D+00,0
268,H,-0.196680D+02,-0.132314D+02,-0.966625D+00,0
269,H,0.175398D+02,0.129356D+02,-0.100170D+02,0
270,O,-0.182783D+01,0.119722D+01,0.502067D+01,0
271,H,0.106940D+02,-0.141824D+02,-0.224934D+02,0
272,H,0.131367D+01,0.136905D+02,0.282434D+01,0
273,O,0.114484D+01,0.948173D+01,-0.254502D+01,0
274,H,0.151666D+02,0.114888D+02,0.121977D+01,0
275,H,0.593062D+01,-0.382226D+02,0.763517D+01,0
276,O,-0.103193D+02,0.266555D+01,-0.213362D+01,0
277,H,-0.299572D+02,-0.114541D+01,0.839230D+01,0
278,H,-0.279809D+00,-0.164213D+02,-0.114050D+02,0
279,O,-0.463582D+01,0.570252D+01,0.780016D+00,0
280,H,0.730440D+01,0.317846D+02,0.137793D+02,0
281,H,0.187501D+02,0.387319D+02,0.761681D+00,0
282,O,0.883045D+00,0.168775D+01,0.148885D+00,0
283,H,-0.225895D+02,0.626309D+01,-0.136996D+02,0
284,H,0.769926D+01,-0.725808D+01,0.751079D+01,0
285,O,-0.215353D+00,0.146731D+01,-0.527433D+00,0
286,H,0.274922D+01,0.123598D+02,-0.231881D+02,0
287,H,-0.140502D+02,-0.124643D+02,-0.199583D+01,0
288,O,-0.764274D+00,-0.424702D-01,-0.754033D+01,0
289,H,0.147730D+02,0.111784D+02,-0.426113D-01,0
290,H,0.113713D+02,0.172571D+02,-0.248127D+02,0
291,O,0.118535D+02,0.552131D+01,-0.516300D+01,0
292,H,0.153325D+02,-0.222786D+02,0.413035D+02,0
293,H,0.143683D+02,-0.160611D+02,-0.123743D+02,0
294,O,0.888892D+00,0.252890D+01,0.144286D+01,0
295,H,-0.187623D+02,0.153940D+02,-0.127581D+02,0
