two,dx,dy,dz,dr,atom0,atom1,projection,bond,molecule_label0,molecule_label1
217157,0.30461156507499965,-1.6960975150345234,-0.7233959750347001,1.8689132464563813,589440,589505,13,True,1.0,1.0
217190,-0.27891714705210013,-1.8054301209519998,0.5455106965879999,1.9065556946106663,589441,589506,13,True,2.0,2.0
217191,-1.4785725866439998,1.134221087681997,0.17895360428199858,1.87207338590216,589441,589507,13,True,2.0,2.0
218856,0.20522096641800047,-1.4345799414165228,-2.6402435117718,3.011813582349555,589504,589505,13,False,1.0,1.0
218900,-1.1996554395918997,2.9396512086339968,-0.3665570923060013,3.1961048956637175,589506,589507,13,False,2.0,2.0
220215,0.11049219309999714,-0.24141181811510037,1.9600448422648,1.9779443810053228,589632,589696,13,True,1.0,1.0
220216,0.3244894361580002,-1.63823164659577,-0.7402176523079005,1.8267508026203916,589632,589697,13,True,1.0,1.0
220248,-0.32398825792330044,-1.8328133089100014,0.5484874026409994,1.9403637410149863,589633,589698,13,True,2.0,2.0
220249,-1.4937561481519008,1.0965692391269997,0.20373811138900066,1.864210488215729,589633,589699,13,True,2.0,2.0
221911,0.21399724305800305,-1.3968198284806697,-2.7002624945727005,3.0476741940156886,589696,589697,13,False,1.0,1.0
221955,-1.1697678902286004,2.929382548037001,-0.3447492912519987,3.1730885748072617,589698,589699,13,False,2.0,2.0
223270,0.13015941339499904,-0.2171464803390002,1.9660352925903997,1.9822686090764703,589824,589888,13,True,1.0,1.0
223271,0.3450472197710006,-1.5895359008976904,-0.7605066794892004,1.795564639232467,589824,589889,13,True,1.0,1.0
223303,-0.3794553833159,-1.8114559599550013,0.5396561630159997,1.9278453924174168,589825,589890,13,True,2.0,2.0
223304,-1.5052588399947995,1.0444110432909994,0.2180517358799996,1.845032564008279,589825,589891,13,True,2.0,2.0
224966,0.21488780637600158,-1.3723894205586902,-2.7265419720796,3.060009904641196,589888,589889,13,False,1.0,1.0
225010,-1.1258034566788995,2.8558670032460007,-0.3216044271360001,3.086557819133302,589890,589891,13,False,2.0,2.0
226327,0.15775289011299876,-0.19454469219260062,1.9336243914438995,1.949778679436748,590016,590080,13,True,1.0,1.0
226328,0.37074208734799896,-1.57477374897897,-0.7915091757705,1.8010688024429626,590016,590081,13,True,1.0,1.0
226360,-0.4363806648064008,-1.7505023240549988,0.5191228799140006,1.877278624922,590017,590082,13,True,2.0,2.0
226361,-1.5194757902525007,0.9926224113010029,0.22198786418100092,1.8284924228511643,590017,590083,13,True,2.0,2.0
228023,0.2129891972350002,-1.3802290567863693,-2.7251335672143995,3.06214787469431,590080,590081,13,False,1.0,1.0
228066,-1.0830951254460999,2.7431247353560018,-0.2971350157329997,2.964138590225107,590082,590083,13,False,2.0,2.0
229379,0.19244401585100235,-0.1785434659219014,1.8769677891732002,1.8952362781600602,590208,590272,13,True,1.0,1.0
229380,0.40029317279800125,-1.5894874348951795,-0.8265726045344,1.8357361467392663,590208,590273,13,True,1.0,1.0
229412,-0.48999431549409955,-1.683681715980999,0.4936947949299988,1.8217060960775824,590209,590274,13,True,2.0,2.0
229413,-1.5421121224427,0.956082847678001,0.21552978558999847,1.8271993044781063,590209,590275,13,True,2.0,2.0
231075,0.2078491569469989,-1.4109439689732781,-2.7035403937076,3.0566476434215133,590272,590273,13,False,1.0,1.0
231119,-1.0521178069486004,2.639764563659,-0.2781650093400003,2.85529063383559,590274,590275,13,False,2.0,2.0
232426,0.2342866242220012,-0.17282999926769804,1.8240123082507997,1.84710079085756,590400,590464,13,True,1.0,1.0
232427,0.4269539249540024,-1.6072950471274972,-0.8486932800122,1.8670745314775405,590400,590465,13,True,1.0,1.0
232459,-0.5399818381193002,-1.6533005932679998,0.4724555693990009,1.802275645470235,590401,590466,13,True,2.0,2.0
